replicate	ancient_sample	true_T	map_T	mean_T	ci95_lower_T	ci95_upper_T	contains_true_95	error	abs_error	min_ne_to_T	geomean_ne_to_T	sd_log_ne_to_T	global_min_ne	global_log_ne_range	realised_epsilon
8	ancient_06	4961.653706742677	3440.0	3433.7917245614826	3337.302336714839	3510.208840873303	0	-1521.653706742677	1521.653706742677	5728.051402148359	9665.772619233316	0.5979320778821617	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_07	5431.127472266199	5500.0	5483.923340567448	5359.82102108247	5585.148285525968	1	68.87252773380078	68.87252773380078	5728.051402148359	9238.352827093571	0.5901154283810025	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_08	5816.855797713497	6540.0	6557.187096528841	6428.607401255417	6698.897126360316	0	723.1442022865031	723.1442022865031	5728.051402148359	8950.12205730437	0.5824858603258007	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_09	7828.94724851832	8540.0	8578.976893361225	8245.898821990953	8977.552327404104	0	711.0527514816804	711.0527514816804	5728.051402148359	8146.956197519492	0.5349077212896112	5728.051402148359	2.8534448584956973	0.010111841346708174
8	ancient_10	8817.048116167747	8880.0	8902.723374485035	8593.732265462293	9239.873809942279	1	62.95188383225286	62.95188383225286	5728.051402148359	8274.180729037766	0.5059282460521789	5728.051402148359	2.8534448584956973	0.010111841346708174
9	ancient_01	255.04204714840273	920.0	972.1772432522947	879.2738402314767	1095.3882320847085	0	664.9579528515973	664.9579528515973	8441.11970594118	23208.355351312206	1.091280105097035	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_02	1118.030188911051	1400.0	1386.804901116565	1295.446212929924	1492.7797779518419	0	281.969811088949	281.969811088949	8441.11970594118	20412.87606252527	1.0882671206724848	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_03	2598.4959431086563	2360.0	2336.436486777334	2136.778426618295	2548.207119275401	0	-238.49594310865632	238.49594310865632	8441.11970594118	15118.747068571913	0.7664328803101955	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_04	4110.103049546545	3820.0	3901.1789621549997	3703.0670388879425	4147.975949488161	1	-290.10304954654475	290.10304954654475	8441.11970594118	13294.600358829182	0.6376897528181066	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_05	5837.704277398633	5540.0	5535.921149647549	5317.954966028247	5740.298877275828	0	-297.70427739863317	297.70427739863317	8441.11970594118	12070.913675155056	0.5554162170429279	8441.11970594118	2.409307414157137	0.009790536413609744
9	ancient_06	7941.699637034279	7740.0	7713.86068512305	7400.917257336342	8048.260500061433	1	-201.69963703427857	201.69963703427857	8441.11970594118	11753.364113182319	0.4952751402075226	8441.11970594118	2.409307414157137	0.009790536413609744
