T	log_posterior	density
6720	-45267.4	6.53242e-28
6740	-45268.4	2.58098e-28
6760	-45269.1	1.18873e-28
6780	-45269.4	8.64774e-29
6800	-45270.2	3.91794e-29
6820	-45271	1.82434e-29
6840	-45271.5	1.07438e-29
6860	-45272.4	4.52746e-30
6880	-45272.9	2.86262e-30
6900	-45273.4	1.57987e-30
6920	-45274.4	5.83473e-31
6940	-45275.1	3.0807e-31
6960	-45275.9	1.35259e-31
6980	-45276.5	7.417e-32
7000	-45277.2	3.87743e-32
7020	-45277.8	1.98115e-32
7040	-45278.8	7.4744e-33
7060	-45279.4	4.26574e-33
7080	-45280.2	1.77341e-33
7100	-45280.9	9.23524e-34
7120	-45281.3	6.00186e-34
7140	-45282.2	2.59754e-34
7160	-45282.9	1.28956e-34
7180	-45283.7	5.71202e-35
7200	-45284.4	2.66678e-35
7220	-45285	1.49905e-35
7240	-45285.8	7.15576e-36
7260	-45286.6	3.14523e-36
7280	-45287.1	1.77802e-36
7300	-45288	7.87361e-37
7320	-45288.9	2.93362e-37
7340	-45289.6	1.59988e-37
7360	-45290.3	7.29719e-38
7380	-45291	3.86433e-38
7400	-45291.6	2.02674e-38
7420	-45292.6	7.69114e-39
7440	-45293.2	4.1778e-39
7460	-45294	1.86127e-39
7480	-45294.8	8.39647e-40
7500	-45295.7	3.49337e-40
7520	-45296.5	1.58805e-40
7540	-45297.1	8.82196e-41
7560	-45298	3.46214e-41
7580	-45298.6	1.9749e-41
7600	-45299.4	8.279e-42
7620	-45300.3	3.51388e-42
7640	-45300.9	1.81518e-42
7660	-45301.9	6.73846e-43
7680	-45302.5	3.93856e-43
7700	-45303.5	1.43627e-43
7720	-45304.1	8.0635e-44
7740	-45305.1	2.8941e-44
7760	-45305.7	1.56327e-44
7780	-45306.7	5.80433e-45
7800	-45307.4	2.81694e-45
7820	-45308.2	1.28155e-45
7840	-45309.3	4.05549e-46
7860	-45310	2.03669e-46
7880	-45310.9	8.85534e-47
7900	-45311.5	4.91437e-47
