replicate	true_T	map_T	mean_T	median_T	ci95_lower_T	ci95_upper_T	contains_true_95	model	Ne	epsilon
212	2481.660121436282	1100.0	934.9893759254651	935.0325123564774	284.48175120167554	1592.0416656107618	0	direct ancient-lineage insertion conditional on modern tree	36164.0	0.0
213	5941.932325338446	5400.0	5402.381857349959	5401.465901087795	5120.963770900401	5706.4230879753895	0	direct ancient-lineage insertion conditional on modern tree	23485.0	0.0
214	9623.625120533508	9550.0	9544.627709902588	9542.822951775428	9056.682560504329	10065.884747474478	1	direct ancient-lineage insertion conditional on modern tree	96929.0	0.0
215	5423.913740326534	4150.0	4211.668897465376	4185.409727840285	3482.2489424154055	5039.434012133999	0	direct ancient-lineage insertion conditional on modern tree	65368.0	0.0
216	4385.773049495527	4100.0	4019.3421790392235	4053.049444975397	2884.3941642572963	4957.576656182503	1	direct ancient-lineage insertion conditional on modern tree	31306.0	0.0
217	3506.5416454145197	2200.0	2268.7655681966057	2260.0973328446103	1789.0173370143846	2764.536037532493	0	direct ancient-lineage insertion conditional on modern tree	96676.0	0.0
218	6888.159960515638	7950.0	7899.138636054097	7907.427362418245	7378.487028743448	8383.415069028277	0	direct ancient-lineage insertion conditional on modern tree	13346.0	0.0
219	3250.7897377893382	3700.0	3673.1624065554925	3679.3139034554197	3458.922482910502	3844.7139798066764	0	direct ancient-lineage insertion conditional on modern tree	12082.0	0.0
220	3280.9930920051233	2600.0	2734.0680730066447	2717.876335282645	2280.1700729898116	3284.041886610377	1	direct ancient-lineage insertion conditional on modern tree	24410.0	0.0
221	4216.313379482466	4600.0	4599.928694442785	4597.72421605382	4283.748373773277	4931.250473408839	0	direct ancient-lineage insertion conditional on modern tree	70842.0	0.0
222	8532.941706374431	10250.0	10494.059144041306	10406.667239028753	9484.98924924895	11795.317076504442	0	direct ancient-lineage insertion conditional on modern tree	24393.0	0.0
223	148.89242449631774	0.0	17.104566983434967	30.064263537367783	1.5032131768683892	99.39233288863733	0	direct ancient-lineage insertion conditional on modern tree	39053.0	0.0
224	6622.917052355948	6500.0	6518.11397491847	6507.167741297344	5723.3505779575735	7341.909033641815	1	direct ancient-lineage insertion conditional on modern tree	71326.0	0.0
225	7762.776418552795	10800.0	10680.16999292757	10697.875758858587	9700.169802826193	11625.778405339954	0	direct ancient-lineage insertion conditional on modern tree	90446.0	0.0
226	3772.6485941832625	4600.0	4588.31232859921	4594.367243334675	4300.729008524276	4843.203187767194	0	direct ancient-lineage insertion conditional on modern tree	80956.0	0.0
227	2009.043649926035	3200.0	3168.2726927185277	3179.80011798342	2347.4048084730716	3997.170028857313	0	direct ancient-lineage insertion conditional on modern tree	82856.0	0.0
228	7055.4151641407425	6600.0	6574.681050192424	6571.478278749828	5965.3112904603495	7215.300947470716	1	direct ancient-lineage insertion conditional on modern tree	21109.0	0.0
229	8271.732431343364	9250.0	9455.776244283057	9377.218091437015	8632.873276933586	10609.317516258552	0	direct ancient-lineage insertion conditional on modern tree	44996.0	0.0
230	7016.492364333086	7050.0	7048.243615219156	7054.488018044044	6589.687543124043	7478.398056079405	1	direct ancient-lineage insertion conditional on modern tree	57592.0	0.0
231	3362.491391170762	3500.0	3473.7118022144978	3474.2167712939954	2714.66833540637	4292.45543506067	1	direct ancient-lineage insertion conditional on modern tree	80979.0	0.0
232	9920.605438494691	10250.0	10258.71190387253	10246.248034805518	9617.521619082552	10939.772717041516	1	direct ancient-lineage insertion conditional on modern tree	77170.0	0.0
233	8300.91754500392	8350.0	8319.475107643468	8324.611246740236	7795.519046092677	8818.761175333437	1	direct ancient-lineage insertion conditional on modern tree	38480.0	0.0
234	8331.055767647225	6750.0	6740.256635310964	6742.218997899652	6441.290565369083	7031.164051690509	0	direct ancient-lineage insertion conditional on modern tree	90601.0	0.0
235	8686.310021972595	8300.0	8412.524704322033	8397.36097383338	7579.783932218303	9305.186965188663	1	direct ancient-lineage insertion conditional on modern tree	43056.0	0.0
236	371.90128347802613	950.0	977.3832101072692	969.0382400520756	688.6971527170942	1318.1949902171743	0	direct ancient-lineage insertion conditional on modern tree	60665.0	0.0
237	2212.633864247433	1900.0	1883.769915259377	1881.6892944954902	1672.7257375521908	2099.3081594371197	0	direct ancient-lineage insertion conditional on modern tree	31257.0	0.0
238	8827.865204235972	6650.0	6692.606494569399	6675.2044077808305	6271.568005397211	7201.658401837551	0	direct ancient-lineage insertion conditional on modern tree	93296.0	0.0
239	6425.477839906637	7350.0	7137.682837739943	7143.283577877677	6490.1720265954045	7752.648131693867	0	direct ancient-lineage insertion conditional on modern tree	39131.0	0.0
240	3888.491160011348	3400.0	3398.564447184946	3402.763850576453	2948.765975429435	3821.5571021985775	0	direct ancient-lineage insertion conditional on modern tree	58811.0	0.0
241	5725.826614489921	4850.0	4863.031357730022	4860.296630299211	4466.3377834843595	5270.108191503826	0	direct ancient-lineage insertion conditional on modern tree	68989.0	0.0
242	1300.1534189880745	1250.0	1298.428523899538	1286.0933946662333	880.8176158739082	1805.7817712468236	1	direct ancient-lineage insertion conditional on modern tree	99516.0	0.0
243	7706.037530213263	8300.0	8260.936179133676	8274.820771131317	7854.453274083341	8590.811767526078	0	direct ancient-lineage insertion conditional on modern tree	38822.0	0.0
244	8320.539320115236	8850.0	8895.016038190432	8891.866975917765	7736.162665441826	9984.801961577572	1	direct ancient-lineage insertion conditional on modern tree	52371.0	0.0
245	9711.865842188065	10050.0	9961.965061604922	9976.391101914367	9395.618574041613	10472.556526642733	1	direct ancient-lineage insertion conditional on modern tree	19495.0	0.0
246	3272.5638712452633	2700.0	2715.7405997484097	2729.182795733438	2204.9830271789156	3126.5547171579487	0	direct ancient-lineage insertion conditional on modern tree	65897.0	0.0
247	1606.4055119110621	3100.0	3008.4234977305478	3031.1621516423497	2507.01768450699	3404.7662026971066	0	direct ancient-lineage insertion conditional on modern tree	57291.0	0.0
248	8081.732030040692	10350.0	10138.834688030356	10171.699738315363	9123.174363644075	11006.096444257126	0	direct ancient-lineage insertion conditional on modern tree	64709.0	0.0
249	3099.9631562260242	3350.0	3304.642695640401	3313.798251292796	3098.9533518647127	3464.164559297621	1	direct ancient-lineage insertion conditional on modern tree	97675.0	0.0
250	9557.50098511486	9050.0	9061.748992132636	9058.971277572957	8524.05515625138	9601.664518674295	1	direct ancient-lineage insertion conditional on modern tree	40741.0	0.0
251	7336.466437896516	8150.0	8065.329154411704	8088.322318905917	7374.328794869386	8624.244226555382	0	direct ancient-lineage insertion conditional on modern tree	28705.0	0.0
252	8473.936793203608	10300.0	10380.509469429231	10369.6641788624	9865.974900028783	10937.042365988313	0	direct ancient-lineage insertion conditional on modern tree	21804.0	0.0
